country_code,gdp_mean,gdp_std,gdp_min,gdp_max,trade_mean,trade_std,trade_min,trade_max,inv_mean,inv_std,inv_min,inv_max,school_mean,school_std,school_min,school_max,popg_mean,popg_std,popg_min,popg_max
ABW,27786.435834453685,1826.4482458359657,22718.2294445007,29959.7748189582,141.8077031420948,9.258111745350357,123.24050373078,160.558140997897,25.752108023340128,4.4337218968142125,19.643757329474,34.5191296544988,112.64286551201685,5.069126284688502,102.620727539062,119.795837402344,0.7813402457371083,0.8183210618800149,-0.82021108315363,2.59075665615847
AFG,438.0420122658047,79.28845699176796,377.665627080705,527.834554499306,57.002360178263665,13.954628479392085,46.7098945514103,72.8854696086536,13.733333333333334,2.6764404221527767,11.5,16.7,,,,,2.3151371217328536,0.8596845850035306,1.43570437048699,3.15360920291972
AGO,3200.7741100009375,437.9406707700766,2403.40415157242,3746.81619978931,76.54014566337847,19.514640163370927,44.9963253203189,108.680408742706,27.23634144519488,5.777776705944071,14.5062482098448,42.1126629947993,111.99692229005801,12.234065105155164,89.2266094661321,128.386344899029,3.5957026521428217,0.22601700175834882,3.14302612044601,3.8879459971363
ALB,3720.3680163022086,1108.0258561118453,1991.91435867116,5867.65096230557,72.5412033963237,6.392971502511229,59.5206994391875,84.6980435944865,31.77538416192868,4.4999184228918745,25.2875256073276,38.5753358181086,103.68659107865793,3.680399955266027,96.3712299304757,110.338920593262,-1.0324963744392288,0.5204563672184279,-1.54315667695786,-0.269017331764615
ARE,46893.20329227612,5442.60615988114,39878.4663896389,56629.9713117545,145.29727748940948,28.00954520000491,89.8645875613427,185.741660631894,23.21330968276105,2.9919966073196527,19.2704004545817,31.6335487626395,110.07234446406555,6.753299059169357,100.258071899414,122.869979858398,4.814223898774607,2.907370053393782,-0.474850154644905,11.5899798855336
ARG,12290.945084898116,1525.6229770327961,8861.56199282278,14040.6189124444,32.80540902034775,6.5321618049396735,21.8522554515453,41.7527243585642,16.949018648108044,2.0509604058536675,10.8539052402585,20.099113202908,113.97288977581518,3.669196048150242,106.759826660156,118.320129394531,0.9144907084690167,0.25578441978400956,0.210808731072658,1.13312807570195
ARM,3012.1533287343855,994.3946855099069,1229.21510436102,4791.00481712183,74.39439784678297,12.32651593816713,54.5423279613666,103.878629213508,27.81990539000671,9.315429597499337,17.4085294108567,47.9428358213473,99.28507966901033,7.681753625206501,90.6347198486328,117.701438903809,-0.2807935369627393,0.4969079052696094,-0.693856288987436,1.68478463633775
AUS,54188.56124844446,4408.951279298176,45979.0765654048,61200.4588964781,42.0509530536234,2.1867752388064625,36.9505159618289,46.0016827052171,25.75718408990956,1.8139381192871615,22.3449300806534,28.5401924147253,102.839164070461,2.257762796569845,99.1329879760742,105.802581787109,1.4100318252164687,0.3884614379950768,0.14089508329287,2.06083316277243
AUT,43082.2275025378,2451.3983404285727,38571.0858780001,47332.4240357971,100.30806303693974,9.305978454076373,85.8426077336549,123.579578652902,24.813499276012703,1.4302683230236035,22.8592812354211,29.2367940014427,101.5640837929464,0.8090596212055506,100.335113525391,102.810722351074,0.5364449087670754,0.25119062660347685,0.240394299500766,1.12099250236958
AZE,4293.66427114478,1501.0904451656327,1504.73106706035,5599.58524971025,87.16300162944205,14.318964339811867,69.4832251953347,121.507115894117,26.20094964482099,11.152720783203916,12.0037141895326,57.9904339874798,98.48519974033734,3.8684346119318467,93.7623031735616,106.601494422512,1.0407747612463722,0.4466637212485276,0.039507866238038,2.09985403259251
BEL,39991.870313388295,2242.144147396048,35878.3153586195,44516.002160801,154.69276690958594,14.3190940393753,132.715552833888,191.053418131592,23.712330741195423,1.5054180927127194,20.7474019774138,27.3616458676872,102.537163474343,0.6596870662795845,101.269889831543,103.77693939209,0.5779195081923336,0.23222043732030173,0.242517956221334,1.3010029017038
BEN,981.9262423375803,99.74285454808908,861.213292013209,1218.49668929091,50.22497811540249,8.123485825363236,39.0959311879142,65.2682749404551,18.999981565020718,5.402484362952501,12.0860448919113,31.1483716430973,105.8192371021617,12.649520426466184,77.2928009033203,121.990882873535,2.9365953384303984,0.16621940023586534,2.54740926342667,3.22061199704122
BFA,582.8551310007246,100.84583525668674,428.309796566198,745.472563435144,48.751606060038554,13.478538475119437,30.3682364077323,67.5202901331655,18.758062168427575,3.223093103446603,13.4516848777294,24.6529928973207,72.53944659254098,16.786669444247377,42.8175315856934,91.5019771306419,2.8916327730143663,0.24847974430652597,2.30907147387783,3.14680149143287
