variable,n_countries,n_reject_5pct,share_reject_5pct,mean_pvalue,fisher_chi2,fisher_pvalue,fisher_k
lgdp,183,22,0.12021857923497267,0.5303485121026981,421.8973905260598,0.019415992487818667,182
ltrade,183,17,0.09289617486338798,0.44824117170419925,530.0015278717617,4.1254387017630734e-08,183
linv,183,19,0.10382513661202186,0.37768311276853767,608.2272039331847,2.5646151868841116e-14,183
